roadgroupid, kml, distance,  maxlat,  minlat,maxlong, minlong
LCS.kml, 11.529230160707627, -1.8044084310531616, -1.8652340173721313, 52.69474411010742, 52.65790557861328
LEO_C1.kml, 2.285975621818782, -1.837689995765686, -1.8515100479125977, 52.679988861083984, 52.67647171020508
BLY_E3.kml, 2.4834923848097334, -1.8003499507904053, -1.8068000078201294, 52.67940902709961, 52.676979064941406
LEO_C5.kml, 1.997407389107111, -1.8382049798965454, -1.8420350551605225, 52.6790885925293, 52.675418853759766
LEO_C4.kml, 2.0349497962964866, -1.8410199880599976, -1.844851016998291, 52.67695236206055, 52.67428970336914
CUR_S1.kml, 1.2354806371066338, -1.8262759447097778, -1.8299829959869385, 52.69304275512695, 52.69093322753906
LEO_W3.kml, 0.9311232671867702, -1.831845998764038, -1.8368459939956665, 52.682369232177734, 52.680419921875
BLY_E1.kml, 1.5094340648542055, -1.7983200550079346, -1.8029199838638306, 52.68302917480469, 52.68006134033203
STW.kml, 6.030806199839327, -1.798985242843628, -1.8344038724899292, 52.697364807128906, 52.67945098876953
LRN.kml, 25.24873505088085, -1.7169355154037476, -1.822378158569336, 52.750972747802734, 52.672889709472656
CUR_N2.kml, 0.9190848260772094, -1.8192800283432007, -1.8221800327301025, 52.69921875, 52.69731140136719
BLY_E2.kml, 1.8962629110313953, -1.798840045928955, -1.8047000169754028, 52.68159866333008, 52.67898178100586
CUR_C3.kml, 1.0075830394620373, -1.8214999437332153, -1.8251440525054932, 52.69868087768555, 52.6963996887207
CUR_S3.kml, 1.7979449745163694, -1.818830966949463, -1.8274630308151245, 52.69618606567383, 52.69464874267578
LEO_W1.kml, 1.1559917090568135, -1.8272500038146973, -1.8333560228347778, 52.68055725097656, 52.67606735229492
LEO_C2.kml, 2.936777880917455, -1.8384699821472168, -1.847409963607788, 52.681129455566406, 52.67802047729492
BLY_E5.kml, 0.9764359587036326, -1.8046300411224365, -1.8084800243377686, 52.67723083496094, 52.674251556396484
CUR_N3.kml, 0.802762987213365, -1.8202409744262695, -1.8230520486831665, 52.70195388793945, 52.70039367675781
STJ.kml, 8.565748321441124, -1.8044084310531616, -1.8537237644195557, 52.6822395324707, 52.65790557861328
CUR_N1.kml, 1.5126320228564418, -1.8212699890136719, -1.8258670568466187, 52.700679779052734, 52.69858932495117
LEO_X1.kml, 0.14656954872546482, -1.8527699708938599, -1.854701042175293, 52.67580032348633, 52.67510986328125
LEO_C3.kml, 2.4479146774970624, -1.8424500226974487, -1.8487999439239502, 52.67790985107422, 52.67538833618164
CUR_E1.kml, 1.3989841649004464, -1.8306699991226196, -1.8341460227966309, 52.69816970825195, 52.696189880371094
CUR_E2.kml, 1.4230930261358743, -1.8263700008392334, -1.8310099840164185, 52.699058532714844, 52.696800231933594
LEO_N4.kml, 2.1727506629834887, -1.8311070203781128, -1.837820053100586, 52.68107223510742, 52.67629623413086
LCC.kml, 13.541344853892875, -1.7927109003067017, -1.8652340173721313, 52.7032585144043, 52.65790557861328
BLY_E4.kml, 1.5995364784050536, -1.8017300367355347, -1.8075799942016602, 52.67784881591797, 52.67586135864258
CUR_C1.kml, 1.7014500446588416, -1.823140025138855, -1.8293299674987793, 52.69921112060547, 52.689369201660156
CUR_E3.kml, 1.225953387463604, -1.830399990081787, -1.8330899477005005, 52.69596862792969, 52.69395065307617
CUR_C2.kml, 1.8686365342428384, -1.822029948234558, -1.8281400203704834, 52.69829177856445, 52.69565963745117
LRE.kml, 60.48976823563232, -1.5862914323806763, -1.8334813117980957, 52.73206329345703, 52.58738327026367
CUR_S2.kml, 1.602299020923998, -1.8209060430526733, -1.8270219564437866, 52.69572830200195, 52.69234848022461
STW_C1.kml, 1.1136732325187322, -1.8212529420852661, -1.8243000507354736, 52.687076568603516, 52.68547821044922
BLY.kml, 4.1912776994203895, -1.7927109003067017, -1.8185577392578125, 52.686763763427734, 52.672889709472656
CUR_E4.kml, 2.8597830891874194, -1.827299952507019, -1.8389099836349487, 52.69594955444336, 52.689659118652344
LRS.kml, 38.71661519879499, -1.7504867315292358, -1.9310407638549805, 52.68245315551758, 52.58489227294922
CUR.kml, 4.055543619694577, -1.8142372369766235, -1.8361214399337769, 52.7032585144043, 52.68925857543945
LCN.kml, 9.087070479397301, -1.8017455339431763, -1.8538122177124023, 52.7032585144043, 52.67945098876953
LDC.kml, 100.45816488867682, -1.5862914323806763, -1.9632319211959839, 52.80779266357422, 52.58489227294922
LEO.kml, 7.388221028523994, -1.8267091512680054, -1.8652340173721313, 52.6944694519043, 52.668785095214844
LEO_W2.kml, 1.657351885824771, -1.8272409439086914, -1.8328419923782349, 52.6846923828125, 52.67998504638672
CHD.kml, 5.376623059205542, -1.8229973316192627, -1.8538122177124023, 52.70183563232422, 52.68559646606445
WaS.kml, 31.54088504908677, -1.6698944568634033, -1.8172425031661987, 52.71005630493164, 52.625858306884766
